"season","date","home_team","guest_team","score","home_score","guest_score","odds_1","odds_x","odds_2","explore_id","outcome","ftr"
"Elitserien 2009/2010","20.12.2009","Alingsas","Skovde","24:25","24","25","1.17","12.74","5.69","lGfnbZqS",,"2"
"Elitserien 2009/2010","19.12.2009","Drott","Lindesberg","33:24","33","24","1.68","9.38","2.47","C0fqnxoG",,"1"
"Elitserien 2008/2009","14.12.2008","Hammarby","Skovde","33:21","33","21","1.58","9.85","2.68","QRR0nXVl",,"1"
"Elitserien 2008/2009","14.12.2008","Trelleborg","Lund","28:27","28","27","2.36","9.14","1.74","W4SdmDGr",,"1"
"Elitserien 2008/2009","13.12.2008","Lugi","Savehof","19:29","19","29","2.70","9.82","1.56","2F9j8DuK",,"2"
"Elitserien 2008/2009","10.12.2008","IFK Ystads","Lugi","28:26","28","26","6.39","13.76","1.13","EFffUFpF",,"1"
"Elitserien 2008/2009","10.12.2008","Lund","Ystads IF","31:35","31","35","1.83","8.84","2.22","KhejVeV8",,"2"
"Elitserien 2008/2009","10.12.2008","Guif","Hammarby","25:21","25","21","1.74","9.22","2.36","t2dnWyG2",,"1"
"Elitserien 2008/2009","10.12.2008","Lindesberg","Savehof","27:31","27","31","4.69","12.50","1.23","SIbbTZaL",,"2"
"Elitserien 2008/2009","10.12.2008","Redbergslids","Trelleborg","33:20","33","20","1.29","11.56","4.06","Asl3SgFR",,"1"
"Elitserien 2008/2009","10.12.2008","Skovde","Alingsas","29:21","29","21","1.63","9.43","2.55","G8bwODNr",,"1"
"Elitserien 2004/2005","26.12.2004","Lund","Redbergslids","22:25","22","25","2.53","9.26","1.61","lzIEUFuT",,"2"
"Elitserien 2004/2005","26.12.2004","Savehof","Vasteras Irsta HF","34:27","34","27","1.02","14.00","11.80","2JJ6WyBG",,"1"
"Elitserien 2004/2005","22.12.2004","Skovde","Guif","41:24","41","24","1.19","10.06","5.15","0EoXncec",,"1"
"Elitserien 2004/2005","22.12.2004","IFK Ystads","Tumba","27:25","27","25","1.26","9.99","4.33","OSK2XHeA",,"1"
"Elitserien 2004/2005","20.12.2004","Djurgardens","Heid","34:28","34","28","1.51","9.00","2.86","YwSkzKBi",,"1"
"Elitserien 2004/2005","20.12.2004","Savehof","Drott","29:20","29","20","1.32","9.75","3.81","S0RgZwRc",,"1"
"Elitserien 2004/2005","20.12.2004","Vasteras Irsta HF","Redbergslids","22:32","22","32","5.88","10.66","1.15","t4VcYct4",,"2"
"Elitserien 2004/2005","19.12.2004","Lugi","Guif","25:26","25","26","1.72","8.94","2.35","Mangzxdo",,"2"
"Elitserien 2004/2005","19.12.2004","Skovde","IFK Ystads","32:23","32","23","1.27","10.24","4.20","fmToy0do",,"1"
"Handbollsligan 2017/2018","20.12.2017","Ricoh","Guif","22:25","22","25","2.06","7.94","2.09","f5z6h4Ck",,"2"
"Handbollsligan 2017/2018","19.12.2017","Malmo","Helsingborg","30:20","30","20","1.03","20.58","15.45","IwM0EoZ8",,"1"
"Handbollsligan 2017/2018","18.12.2017","Lugi","Redbergslids","20:27","20","27","1.74","8.20","2.58","2VwEjrs2",,"2"
"Handbollsligan 2017/2018","17.12.2017","Aranas","Kristianstad","22:23","22","23","14.15","19.66","1.04","GEy2gpcq",,"2"
"Handbollsligan 2017/2018","17.12.2017","Hammarby","Skovde","32:24","32","24","1.61","8.74","2.84","SUYhFtxg",,"1"
"Handbollsligan 2017/2018","17.12.2017","Karlskrona","Alingsas","24:32","24","32","8.97","15.25","1.11","6FppH27t",,"2"
"Handbollsligan 2017/2018","15.12.2017","Helsingborg","Guif","24:31","24","31","3.48","9.57","1.45","zeYdE0ia",,"2"
"Handbollsligan 2017/2018","15.12.2017","Redbergslids","Ricoh","18:24","18","24","1.16","13.31","6.82","lvzkGMMn",,"2"
"Handbollsligan 2017/2018","14.12.2017","Savehof","Lugi","21:23","21","23","1.52","8.95","3.17","xW4UBhDA",,"2"
"Elitserien 2015/2016","22.12.2015","Aranas","Malmo","31:23","31","23","4.23","10.52","1.32","tj6MN82C",,"1"
"Elitserien 2015/2016","22.12.2015","Karlskrona","Savehof","27:27","27","27","3.95","10.22","1.36","KzIDPUXa",,"X"
"Elitserien 2015/2016","22.12.2015","Kristianstad","Ystads IF","32:21","32","21","1.19","12.05","6.08","APAQMSHI",,"1"
"Elitserien 2015/2016","22.12.2015","Lugi","Skovde","25:27","25","27","1.16","12.41","6.61","2a7IOlm6",,"2"
"Elitserien 2015/2016","22.12.2015","Ricoh","Guif","22:25","22","25","2.28","8.76","1.87","80E9QAIg",,"2"
"Elitserien 2015/2016","21.12.2015","Redbergslids","Drott","28:25","28","25","1.04","19.72","14.63","EwF5Rj3m",,"1"
"Elitserien 2015/2016","19.12.2015","Guif","Karlskrona","23:20","23","20","1.19","12.28","5.91","2aom99mJ",,"1"
"Elitserien 2015/2016","19.12.2015","Hammarby","Aranas","29:27","29","27","1.16","13.16","6.87","G2ZUXhQJ",,"1"
"Elitserien 2015/2016","19.12.2015","Skovde","Ricoh","23:16","23","16","2.04","8.74","2.07","fgYYWCuQ",,"1"
"Elitserien 2015/2016","19.12.2015","Ystads IF","Lugi","30:36","30","36","1.43","9.84","3.53","6XivBVI6",,"2"
"Elitserien 2013/2014","29.01.2014","Malmo","Lugi","25:30","25","30","1.93","8.62","2.18","nPhQEcOJ",,"2"
"Elitserien 2013/2014","29.01.2014","Redbergslids","Onnereds","28:17","28","17","1.09","14.54","9.33","I7qd9yns",,"1"
"Elitserien 2013/2014","29.01.2014","Ystads IF","Savehof","29:37","29","37","2.22","8.66","1.89","nZevifWC",,"2"
"Elitserien 2013/2014","25.01.2014","Malmo","Ystads IF","31:17","31","17","1.60","9.15","2.78","SnvzAgK1",,"1"
"Elitserien 2013/2014","27.12.2013","Lugi","Malmo","22:27","22","27","1.22","11.83","5.36","ELcWhG10",,"2"
"Elitserien 2013/2014","26.12.2013","Drott","Hammarby","27:28","27","28","1.52","9.63","2.98","4nOn1vfK",,"2"
"Elitserien 2013/2014","26.12.2013","Guif","Skovde","31:21","31","21","1.37","9.99","3.81","nBDi0b9Q",,"1"
